
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:    7e+04
 4.9787  2.43373  50000 
 4.98359  2.48193  50000 
 4.98849  2.53012  50000 
 4.9934  2.57831  50000 
 4.99832  2.62651  50000 
 5  2.64291  50000 

# Contour 5, label: 
 4.51184 -2  50000 
 4.51709 -1.95181  50000 
 4.52235 -1.90361  50000 
 4.52762 -1.85542  50000 
 4.53291 -1.80723  50000 
 4.5382 -1.75904  50000 
 4.54351 -1.71084  50000 
 4.54883 -1.66265  50000 
 4.55416 -1.61446  50000 
 4.5595 -1.56627  50000 
 4.56486 -1.51807  50000 
 4.57022 -1.46988  50000 
 4.5756 -1.42169  50000 
 4.57576 -1.42026  50000 
 4.58076 -1.37349  50000 
 4.58593 -1.3253  50000 
 4.5911 -1.27711  50000 
 4.59629 -1.22892  50000 
 4.60149 -1.18072  50000 
 4.6067 -1.13253  50000 
 4.61192 -1.08434  50000 
 4.61715 -1.03614  50000 
 4.6224 -0.987952  50000 
 4.62765 -0.939759  50000 
 4.63292 -0.891566  50000 
 4.63819 -0.843373  50000 
 4.64348 -0.795181  50000 
 4.64646 -0.76806  50000 
 4.64868 -0.746988  50000 
 4.65376 -0.698795  50000 
 4.65886 -0.650602  50000 
 4.66396 -0.60241  50000 
 4.66907 -0.554217  50000 
 4.6742 -0.506024  50000 
 4.67933 -0.457831  50000 
 4.68448 -0.409639  50000 
 4.68963 -0.361446  50000 
 4.6948 -0.313253  50000 
 4.69998 -0.26506  50000 
 4.70517 -0.216867  50000 
 4.71038 -0.168675  50000 
 4.71559 -0.120482  50000 
 4.71717 -0.10587  50000 
 4.72066 -0.0722892  50000 
 4.72566 -0.0240964  50000 
 4.73068  0.0240964  50000 
 4.73571  0.0722892  50000 
 4.74075  0.120482  50000 
 4.7458  0.168675  50000 
 4.75086  0.216867  50000 
 4.75593  0.26506  50000 
 4.76101  0.313253  50000 
 4.7661  0.361446  50000 
 4.77121  0.409639  50000 
 4.77632  0.457831  50000 
 4.78145  0.506024  50000 
 4.78659  0.554217  50000 
 4.78788  0.566322  50000 
 4.79157  0.60241  50000 
 4.7965  0.650602  50000 
 4.80144  0.698795  50000 
 4.8064  0.746988  50000 
 4.81136  0.795181  50000 
 4.81634  0.843373  50000 
 4.82132  0.891566  50000 
 4.82632  0.939759  50000 
 4.83132  0.987952  50000 
 4.83634  1.03614  50000 
 4.84137  1.08434  50000 
 4.84641  1.13253  50000 
 4.85146  1.18072  50000 
 4.85652  1.22892  50000 
 4.85859  1.24852  50000 
 4.86146  1.27711  50000 
 4.86632  1.3253  50000 
 4.87119  1.37349  50000 
 4.87607  1.42169  50000 
 4.88096  1.46988  50000 
 4.88586  1.51807  50000 
 4.89077  1.56627  50000 
 4.89569  1.61446  50000 
 4.90063  1.66265  50000 
 4.90557  1.71084  50000 
 4.91052  1.75904  50000 
 4.91549  1.80723  50000 
 4.92046  1.85542  50000 
 4.92545  1.90361  50000 
 4.92929  1.94071  50000 
 4.93039  1.95181  50000 
 4.93518  2  50000 
 4.93997  2.04819  50000 
 4.94478  2.09639  50000 
 4.94959  2.14458  50000 
 4.95442  2.19277  50000 
 4.95926  2.24096  50000 
 4.9641  2.28916  50000 
 4.96896  2.33735  50000 
 4.97383  2.38554  50000 
 4.9787  2.43373  50000 


# Contour 6, label:  4.5e+04
 4.85859  2.39617  45000 
 4.86237  2.43373  45000 
 4.86722  2.48193  45000 
 4.87209  2.53012  45000 
 4.87697  2.57831  45000 
 4.88186  2.62651  45000 
 4.88676  2.6747  45000 
 4.89167  2.72289  45000 
 4.8966  2.77108  45000 
 4.90153  2.81928  45000 
 4.90648  2.86747  45000 
 4.91143  2.91566  45000 
 4.9164  2.96386  45000 
 4.92138  3.01205  45000 
 4.92637  3.06024  45000 
 4.92929  3.08838  45000 
 4.93128  3.10843  45000 
 4.93607  3.15663  45000 
 4.94086  3.20482  45000 
 4.94566  3.25301  45000 
 4.95048  3.3012  45000 
 4.95531  3.3494  45000 
 4.96014  3.39759  45000 
 4.96499  3.44578  45000 
 4.96985  3.49398  45000 
 4.97472  3.54217  45000 
 4.9796  3.59036  45000 
 4.98449  3.63855  45000 
 4.9894  3.68675  45000 
 4.99431  3.73494  45000 
 4.99924  3.78313  45000 
 5  3.79058  45000 

# Contour 7, label: 
 4.38266 -2  45000 
 4.38811 -1.95181  45000 
 4.39357 -1.90361  45000 
 4.39904 -1.85542  45000 
 4.40452 -1.80723  45000 
 4.41002 -1.75904  45000 
 4.41552 -1.71084  45000 
 4.42104 -1.66265  45000 
 4.42658 -1.61446  45000 
 4.43213 -1.56627  45000 
 4.43434 -1.54701  45000 
 4.43754 -1.51807  45000 
 4.44286 -1.46988  45000 
 4.4482 -1.42169  45000 
 4.45354 -1.37349  45000 
 4.4589 -1.3253  45000 
 4.46427 -1.27711  45000 
 4.46966 -1.22892  45000 
 4.47505 -1.18072  45000 
 4.48046 -1.13253  45000 
 4.48588 -1.08434  45000 
 4.49132 -1.03614  45000 
 4.49676 -0.987952  45000 
 4.50222 -0.939759  45000 
 4.50505 -0.914814  45000 
 4.50757 -0.891566  45000 
 4.51281 -0.843373  45000 
 4.51806 -0.795181  45000 
 4.52332 -0.746988  45000 
 4.5286 -0.698795  45000 
 4.53388 -0.650602  45000 
 4.53918 -0.60241  45000 
 4.54449 -0.554217  45000 
 4.54981 -0.506024  45000 
 4.55515 -0.457831  45000 
 4.56049 -0.409639  45000 
 4.56585 -0.361446  45000 
 4.57122 -0.313253  45000 
 4.57576 -0.272625  45000 
 4.57657 -0.26506  45000 
 4.58172 -0.216867  45000 
 4.58688 -0.168675  45000 
 4.59206 -0.120482  45000 
 4.59725 -0.0722892  45000 
 4.60245 -0.0240964  45000 
 4.60766  0.0240964  45000 
 4.61288  0.0722892  45000 
 4.61812  0.120482  45000 
 4.62336  0.168675  45000 
 4.62862  0.216867  45000 
 4.63389  0.26506  45000 
 4.63918  0.313253  45000 
 4.64447  0.361446  45000 
 4.64646  0.379577  45000 
 4.64963  0.409639  45000 
 4.65471  0.457831  45000 
 4.6598  0.506024  45000 
 4.6649  0.554217  45000 
 4.67001  0.60241  45000 
 4.67514  0.650602  45000 
 4.68028  0.698795  45000 
